string
description: 20210414_20210419_Ni_SiN_optical_density_low_gain
sample: Ni_low reference: SiN_low
eV optical density i.a.u.
666.79725132 0.0
666.9461381993652 0.0
667.0951508615353 0.0
667.24428930651 0.0
667.3935535342897 0.0
667.5429435448742 0.0
667.6924593382632 0.0
667.8421009144573 0.0
667.9918682734559 0.0
668.1417614152596 0.0
668.2917803398677 0.0
668.4419250472808 0.0
668.5921955374987 0.0
668.7425918105214 0.0
668.8931138663488 0.0
669.043761704981 0.0
669.194535326418 0.0
669.3454347306597 0.0
669.4964599177063 0.0
669.6476108875576 0.0
669.7988876402137 0.32457867824667697
669.9502901756746 0.32572999932114033
670.1018184939403 0.3237800269567958
670.2534725950107 0.3243787198018119
670.4052524788859 0.3207733046212681
670.5571581455661 0.32206478237837727
670.7091895950507 0.31948905500833763
670.8613468273404 0.3201438260865514
671.0136298424346 0.3230698018758766
671.1660386403339 0.32143619300805754
671.3185732210377 0.32593600080549584
671.4712335845464 0.3204720981250529
671.62401973086 0.32412916888241716
671.7769316599782 0.329737243774282
671.9299693719013 0.3264319764864168
672.0831328666291 0.31981764373257215
672.2364221441618 0.3211971527654259
672.389837204499 0.3216935932022866
672.5433780476413 0.3283021076942257
672.6970446735882 0.32740705621705335
672.8508370823399 0.32543512635653216
673.0047552738964 0.3214212484844372
673.1587992482578 0.3178781204285842
673.312969005424 0.3230220667661912
673.4672645453948 0.3244720765429368
673.6216858681704 0.32265665637716434
673.7762329737508 0.3202644664767232
673.930905862136 0.323094449030133
674.085704533326 0.3244616189043009
674.2406289873207 0.32070092471040196
674.3956792241203 0.31578013953793926
674.5508552437246 0.3179020758319552
674.7061570461337 0.3186305259124684
674.8615846313476 0.31445888256371735
675.0171379993664 0.3154206953515483
675.1728171501898 0.31217041005487606
675.328622083818 0.3131391432008066
675.484552800251 0.31311178238903903
675.6406092994888 0.3125281883389069
675.7967915815314 0.3157121262092924
675.9530996463787 0.318769423375483
676.109533494031 0.30779540510990455
676.2660931244878 0.3091311805486223
676.4227785377495 0.31279795997708604
676.579589733816 0.31103535931334125
676.7365267126874 0.3052336111526695
676.8935894743632 0.30578888371381535
677.0507780188442 0.3076456112988876
677.2080923461298 0.3079864053298088
677.3655324562202 0.3089201152581409
677.5230983491153 0.3033836208008602
677.6807900248153 0.2987367156889551
677.8386074833201 0.30067131908055794
677.9965507246295 0.30502479907097285
678.1546197487439 0.3027838239065277
678.312814555663 0.30425858835637654
678.4711351453868 0.3094242032143601
678.6295815179154 0.3063657351980291
678.7881536732489 0.3015915659535505
678.9468516113872 0.29681910818607743
679.1056753323301 0.2889770002197846
679.2646248360779 0.2974126699437681
679.4237001226304 0.29651005632544486
679.5829011919877 0.29379393875609927
679.7422280441498 0.29553852125473157
679.9016806791168 0.29451401198789756
680.0612590968884 0.2908740639897575
680.2209632974649 0.2904807608164
680.3807932808462 0.2901705012598138
680.5407490470321 0.2890983007469317
680.700830596023 0.28884920224361876
680.8610379278185 0.2921100828553249
681.0213710424189 0.2968457669074529
681.181829939824 0.295053674469737
681.342414620034 0.29126699888256874
681.5031250830486 0.287875946747636
681.6639613288681 0.2868845308102478
681.8249233574925 0.29130770799089467
681.9860111689214 0.290981532719306
682.1472247631554 0.2919519474729905
682.3085641401939 0.2874475212060222
682.4700293000374 0.2845117329583771
682.6316202426855 0.27944529381334304
682.7933369681385 0.27657927384141473
682.9551794763962 0.27898487477076134
683.1171477674587 0.28522322539255196
683.2792418413261 0.2804696074259422
683.4414616979981 0.2793671970975624
683.603807337475 0.27630153815612934
683.7662787597566 0.2766118796197858
683.9288759648431 0.2802165912813221
684.0915989527342 0.2797028025276261
684.2544477234303 0.2787242765208506
684.417422276931 0.27962300013902863
684.5805226132366 0.2774083557750874
684.743748732347 0.2775682316113393
684.9071006342621 0.2767275098464925
685.070578318982 0.27768681038313237
685.2341817865066 0.27971005105114016
685.3979110368361 0.2780860926184678
685.5617660699703 0.28558749234868996
685.7257468859094 0.28238709969513304
685.8898534846531 0.2784401114965566
686.0540858662017 0.2800075753794496
686.218444030555 0.28232950406779256
686.3829279777133 0.28007850779870896
686.5475377076763 0.2834330111790753
686.7122732204439 0.2798676516353964
686.8771345160164 0.2767903862470898
687.0421215943936 0.27974855597571996
687.2072344555758 0.2774077822751365
687.3724730995625 0.2755093296108293
687.5378375263542 0.2761820246921656
687.7033277359506 0.2764170256089551
687.8689437283517 0.27646918748023336
688.0346855035577 0.27800235050039135
688.2005530615685 0.28232218846279455
688.3665464023841 0.27826245137916084
688.5326655260043 0.2767250935443047
688.6989104324294 0.2824890585449488
688.8652811216592 0.28398301798565095
689.031777593694 0.28085335610739215
689.1983998485333 0.2791799696111524
689.3651478861775 0.26955731861415955
689.5320217066266 0.2718421624153799
689.6990213098803 0.26988076751807744
689.8661466959389 0.2714780933466049
690.0333978648022 0.2745743278379646
690.2007748164704 0.2707809520495463
690.3682775509432 0.2727332732444227
690.5359060682209 0.27276474149052204
690.7036603683033 0.26931661947887947
690.8715404511906 0.2734927433026713
691.0395463168827 0.2733913751634581
691.2076779653794 0.2668763061377856
691.375935396681 0.2659842770948144
